Protein_A	Protein_B	Uniprot_A	Uniprot_B
PYCRL	RPL23	Q53H96	P62829
RABEP1	SMARCC1	Q15276	Q92922
RANBP9	RMND5A	Q96S59	Q9H871
CCT2	RAP2C	P78371	Q9Y3L5
CCT7	RAP2C	Q99832	Q9Y3L5
RBM19	RPL23A	Q9Y4C8	P62750
ANAPC5	RBM28	Q9UJX4	Q9NW13
RBM28	RPL23A	Q9NW13	P62750
RPL17	RPL23A	P18621	P62750
LIMA1	RPL23	Q9UHB6	P62829
RPL23	SSSCA1	P62829	O60232
RPL23	TMOD2	P62829	Q9NZR1
RPL23	TUBB	P62829	P07437
BMS1	RPL23A	Q14692	P62750
BRIX1	RPL23A	Q8TDN6	P62750
C3orf17	RPL23A	Q6NW34	P62750
CCDC86	RPL23A	Q9H6F5	P62750
DDX10	RPL23A	Q13206	P62750
DDX31	RPL23A	Q9H8H2	P62750
DDX55	RPL23A	Q8NHQ9	P62750
DKC1	RPL23A	O60832	P62750
GLYR1	RPL23A	Q49A26	P62750
MRPS26	RPL23A	Q9BYN8	P62750
NOC4L	RPL23A	Q9BVI4	P62750
NOP14	RPL23A	P78316	P62750
NOP16	RPL23A	Q9Y3C1	P62750
NVL	RPL23A	O15381	P62750
PDCD11	RPL23A	Q14690	P62750
PRKRA	RPL23A	O75569	P62750
RPL23A	RPL26L1	P62750	Q9UNX3
RPL23A	RPL36AL	P62750	Q969Q0
RPL23A	RPL37A	P62750	P61513
RPL23A	RPS10	P62750	P46783
RPL23A	RPS15	P62750	P62841
RPL23A	RPS16	P62750	P62249
RPL23A	RPS17	P62750	P08708
RPL23A	RPS19	P62750	P39019
RPL23A	RPS2	P62750	P15880
RPL23A	RPS23	P62750	P62266
RPL23A	RPS3	P62750	P23396
RPL23A	RPS3A	P62750	P61247
RPL23A	RPS5	P62750	P46782
RPL23A	RPS6	P62750	P62753
RPL23A	RRP12	P62750	Q5JTH9
RPL23A	RRS1	P62750	Q15050
RPL23A	SF3B2	P62750	Q13435
RPL23A	SRSF5	P62750	Q13243
RPL23A	STAU1	P62750	O95793
RPL23A	STAU2	P62750	Q9NUL3
RPL23A	SURF6	P62750	O75683
RPL23A	TFB1M	P62750	Q8WVM0
RPL23A	TOE1	P62750	Q96GM8
RPL23A	TRMT1L	P62750	Q7Z2T5
RPL23A	UBE2O	P62750	Q9C0C9
RPL23A	VPRBP	P62750	Q9Y4B6
RPL23A	YBX1	P62750	P67809
RPL23A	YTHDC1	P62750	Q96MU7
RPL23A	ZC3H8	P62750	Q8N5P1
RPL23A	ZC3HAV1	P62750	Q7Z2W4
RPL23A	ZNF346	P62750	Q9UL40
DCTN1	RPS19BP1	Q14203	Q86WX3
FUS	RPS27	P35637	P42677
RUVBL1	RUVBL2	Q9Y265	Q9Y230
POLR3A	RUVBL2	O14802	Q9Y230
RUVBL2	TRRAP	Q9Y230	Q9Y4A5
COPB1	SEC61B	P53618	P60468
SEPT11	SEPT2	Q9NVA2	Q15019
SEPT2	SEPT6	Q15019	Q14141
SEPT2	SEPT7	Q15019	Q16181
SEPT2	SEPT9	Q15019	Q9UHD8
SFPQ	SMARCC1	P23246	Q92922
ANAPC2	SKP1	Q9UJX6	P63208
SMARCB1	SMARCC1	Q12824	Q92922
SMARCC1	SMARCC2	Q92922	Q8TAQ2
SMARCC1	SMARCD1	Q92922	Q96GM5
SMARCC1	SMARCE1	Q92922	Q969G3
SMARCC1	SS18	Q92922	Q15532
RPL23	TOR1AIP2	P62829	Q8NFQ8
DYNC1H1	TRAP1	Q14204	Q12931
RPL23	TSSC1	P62829	Q53HC9
CCT2	TUBB2B	P78371	Q9BVA1
RPL23	UBE2O	P62829	Q9C0C9
CCT2	WDR37	P78371	Q9Y2I8
CPSF4	ZC3H18	O95639	Q86VM9
EXOSC10	ZC3H18	Q01780	Q86VM9
EXOSC2	ZFC3H1	Q13868	O60293
