	Gene.names	Protein.IDs	LFQ.intensity.01	LFQ.intensity.02	LFQ.intensity.03	LFQ.intensity.04	LFQ.intensity.05	LFQ.intensity.06	LFQ.intensity.07	LFQ.intensity.08	LFQ.intensity.09	LFQ.intensity.10	LFQ.intensity.11	LFQ.intensity.12	LFQ.intensity.13	LFQ.intensity.14	LFQ.intensity.15
569	NMD2	P38798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
570	LRP1	P38801	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
571	TRA1	P38811	0.0	0.0	19884000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9050300.0	9856400.0
572	NDT80	P38830	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
573	SOL3	P38858	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
574	NMD3	P38861	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
575	SPC97	P38863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18627000.0	0.0	0.0	0.0	0.0	12835000.0
576	EGD2	P38879	51822000.0	0.0	0.0	43750000.0	0.0	0.0	0.0	0.0	70424000.0	77944000.0	0.0	64648000.0	67418000.0	35525000.0	0.0
577	RPN10	P38886	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
578	BAT1	P38891	173200000.0	72494000.0	203600000.0	144510000.0	42355000.0	166900000.0	96014000.0	54038000.0	122990000.0	232460000.0	261960000.0	130440000.0	134380000.0	225160000.0	204730000.0
579	HSP10	P38910	54010000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	89248000.0	0.0	0.0	0.0	45058000.0
580	FPR3	P38911	0.0	0.0	65997000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51513000.0	0.0
581	TIF11	P38912	0.0	0.0	25850000.0	0.0	0.0	0.0	29876000.0	0.0	0.0	33387000.0	0.0	36134000.0	38604000.0	0.0	22715000.0
582	BFR1	P38934	21576000.0	0.0	12308000.0	23072000.0	0.0	21225000.0	13985000.0	0.0	26932000.0	14105000.0	34164000.0	45105000.0	31394000.0	14730000.0	18738000.0
583	SEC31	P38968	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
584	ADE6	P38972	26497000.0	0.0	28608000.0	34182000.0	0.0	31459000.0	26911000.0	0.0	25142000.0	37736000.0	33246000.0	35598000.0	27042000.0	36056000.0	23537000.0
585	GGC1	P38988	26360000.0	14738000.0	90622000.0	36842000.0	41080000.0	16492000.0	38516000.0	0.0	0.0	0.0	0.0	18062000.0	16407000.0	40048000.0	49478000.0
586	LYS9	P38999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
587	HXT7;HXT6	P39004;P39003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
588	END3	P39013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
589	STM1	P39015	354330000.0	311260000.0	191290000.0	206470000.0	0.0	191210000.0	217360000.0	0.0	444670000.0	230250000.0	262380000.0	233920000.0	181270000.0	148980000.0	226150000.0
590	CCT2	P39076	32050000.0	0.0	30099000.0	29120000.0	23762000.0	27928000.0	0.0	0.0	0.0	0.0	0.0	34158000.0	0.0	24036000.0	29171000.0
591	CCT3	P39077	25499000.0	0.0	59707000.0	31118000.0	28426000.0	25248000.0	0.0	0.0	0.0	0.0	0.0	27878000.0	0.0	17095000.0	35189000.0
592	CCT4	P39078	34621000.0	11307000.0	68562000.0	39320000.0	23272000.0	21445000.0	46753000.0	21645000.0	0.0	28920000.0	0.0	24108000.0	16643000.0	44235000.0	47129000.0
593	CCT6	P39079	15791000.0	0.0	21484000.0	0.0	0.0	0.0	0.0	0.0	17978000.0	20701000.0	17882000.0	17960000.0	14454000.0	25038000.0	22805000.0
594	CAJ1	P39101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
595	MNN1	P39106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
596	MNN9	P39107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
597	YCF1	P39109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
598	VMA7	P39111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
599	DHH1	P39517	0.0	0.0	31987000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20567000.0
600	ILV3	P39522	57695000.0	48508000.0	79425000.0	75698000.0	53264000.0	43108000.0	34458000.0	43334000.0	53440000.0	67421000.0	63794000.0	60232000.0	55407000.0	63677000.0	70293000.0
601	ACO2	P39533	0.0	0.0	20017000.0	0.0	0.0	0.0	0.0	0.0	0.0	17427000.0	0.0	0.0	0.0	0.0	20023000.0
602	YHB1	P39676	0.0	0.0	600830000.0	0.0	0.0	0.0	0.0	0.0	0.0	834650000.0	0.0	956940000.0	0.0	1056000000.0	0.0
603	NPT1	P39683	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
604	BDH1	P39714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
605	ERV46	P39727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
606	RBG1	P39729	898770000.0	1929300000.0	460920000.0	642480000.0	1501700000.0	1522400.0	570790000.0	0.0	0.0	1274400.0	0.0	1442200.0	993210000.0	640960000.0	554620000.0
607	FUN12	P39730	63585000.0	55465000.0	94148000.0	67045000.0	56869000.0	52214000.0	77916000.0	36506000.0	53928000.0	52885000.0	50348000.0	44929000.0	54254000.0	74954000.0	83341000.0
608	TIF4631	P39935	0.0	0.0	29067000.0	0.0	0.0	0.0	0.0	0.0	0.0	30388000.0	0.0	21962000.0	15991000.0	26135000.0	15742000.0
609	RPS26B;RPS26A	P39939;P39938	432380000.0	0.0	518160000.0	0.0	0.0	232360000.0	505710000.0	0.0	428660000.0	420720000.0	490400000.0	280780000.0	0.0	281960000.0	491470000.0
610	SAH1	P39954	87511000.0	104860000.0	193700000.0	137650000.0	129030000.0	126180000.0	181200000.0	43551000.0	114910000.0	139060000.0	111460000.0	141350000.0	121380000.0	182400000.0	154040000.0
611	GDI1	P39958	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
612	DLD3	P39976	0.0	0.0	54922000.0	0.0	0.0	51997000.0	55464000.0	0.0	53001000.0	44279000.0	0.0	49469000.0	0.0	53347000.0	0.0
613	SPF1	P39986	0.0	0.0	33967000.0	23017000.0	0.0	19298000.0	0.0	0.0	0.0	24630000.0	0.0	19682000.0	0.0	21144000.0	17234000.0
614	SNU13	P39990	0.0	0.0	296290000.0	137570000.0	293450000.0	0.0	145090000.0	180960000.0	0.0	0.0	0.0	222780000.0	219760000.0	209480000.0	180330000.0
