	Gene.names	Protein.IDs	Intensity.01	Intensity.02	Intensity.03	Intensity.04	Intensity.05	Intensity.06	Intensity.07	Intensity.08	Intensity.09	Intensity.10	Intensity.11	Intensity.12	Intensity.13	Intensity.14	Intensity.15
665	RPL33B	P41056	162620000.0	70036000.0	287630000.0	133260000.0	78845000.0	119690000.0	113110000.0	0.0	89545000.0	113850000.0	91602000.0	125770000.0	98607000.0	145810000.0	261810000.0
666	RPS29A	P41057	287210000.0	86199000.0	908200000.0	87135000.0	100230000.0	174030000.0	164200000.0	45833000.0	177120000.0	204620000.0	154990000.0	229150000.0	81287000.0	212030000.0	298810000.0
667	RPS29B	P41058	138840000.0	96841000.0	339440000.0	143740000.0	0.0	121020000.0	143350000.0	57932000.0	103990000.0	0.0	95579000.0	187200000.0	143000000.0	215830000.0	333750000.0
668	GPP1	P41277;P40106	410300000.0	197820000.0	478910000.0	495290000.0	193940000.0	721400000.0	461450000.0	213130000.0	250830000.0	616700000.0	772600000.0	765980000.0	649370000.0	315650000.0	697340000.0
669	ERG10	P41338	168370000.0	110110000.0	221780000.0	160170000.0	81459000.0	241330000.0	62708000.0	67034000.0	79687000.0	359240000.0	200590000.0	198430000.0	243080000.0	334310000.0	240190000.0
670	OST1	P41543	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19474000.0	0.0
671	RPL10	P41805	2175200000.0	1184400000.0	5666100000.0	2289000000.0	1322300000.0	2317600000.0	2073200000.0	612850000.0	1441500000.0	1947500000.0	1671400000.0	2635000000.0	2159400000.0	3152600000.0	2010600000.0
672	VMA13	P41807	21842000.0	10816000.0	85048000.0	25662000.0	0.0	55694000.0	56488000.0	0.0	25295000.0	41293000.0	0.0	26020000.0	0.0	126590000.0	0.0
673	SEC26	P41810	51845000.0	0.0	142110000.0	60587000.0	9356400.0	0.0	98314000.0	0.0	15186000.0	30118000.0	0.0	53843000.0	62005000.0	40959000.0	58286000.0
674	SEC27	P41811	57668000.0	0.0	60423000.0	22350000.0	8249500.0	0.0	12176000.0	7528500.0	0.0	0.0	0.0	9722700.0	22765000.0	15691000.0	33503000.0
675	DIM1	P41819	11496000.0	0.0	43722000.0	8177200.0	0.0	0.0	9885100.0	0.0	4813300.0	9076400.0	0.0	0.0	0.0	13202000.0	17783000.0
676	TES1	P41903	0.0	0.0	0.0	9885200.0	0.0	7874500.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14296000.0	0.0
677	GPD2	P41911	0.0	11394000.0	141520000.0	67190000.0	0.0	0.0	57881000.0	0.0	0.0	31009000.0	30021000.0	0.0	33332000.0	80968000.0	103520000.0
678	YRB1	P41920	113980000.0	48862000.0	0.0	0.0	0.0	17830000.0	17225000.0	25047000.0	47630000.0	140700000.0	112280000.0	27035000.0	101220000.0	51428000.0	85437000.0
679	GLR1	P41921	7937400.0	0.0	19703000.0	0.0	5538800.0	0.0	0.0	0.0	0.0	0.0	0.0	8799300.0	0.0	0.0	11080000.0
680	IDP2	P41939;P53982	197780000.0	46932000.0	154230000.0	266100000.0	36969000.0	437210000.0	98902000.0	188840000.0	176350000.0	59379000.0	228620000.0	56773000.0	223380000.0	301640000.0	86263000.0
681	PSA1	P41940	244010000.0	180940000.0	1258000000.0	504960000.0	230180000.0	490040000.0	458560000.0	40979000.0	276780000.0	354400000.0	358930000.0	453020000.0	210100000.0	917140000.0	827440000.0
682	EMW1	P42842	0.0	0.0	16065000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28457000.0	0.0	0.0	8168100.0
683	KRI1	P42846	0.0	0.0	8885900.0	10519000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
684	MRPS18	P42847	0.0	0.0	0.0	0.0	591720000.0	14799000.0	0.0	0.0	0.0	0.0	27966000.0	0.0	188900000.0	0.0	233960000.0
685	CCT7	P42943	0.0	0.0	70703000.0	11946000.0	0.0	0.0	0.0	0.0	0.0	18842000.0	8257900.0	31911000.0	11292000.0	21357000.0	39801000.0
686	UTP10	P42945	0.0	0.0	15097000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
687	QRI1	P43123	0.0	0.0	0.0	0.0	0.0	13156000.0	0.0	0.0	0.0	0.0	0.0	11245000.0	10386000.0	0.0	0.0
688	GCN20	P43535	30107000.0	19133000.0	219530000.0	45997000.0	21075000.0	28651000.0	59083000.0	0.0	22210000.0	32798000.0	21181000.0	33035000.0	23228000.0	70759000.0	98943000.0
689	SWP82	P43554	0.0	0.0	13736000.0	0.0	25947000.0	0.0	10271000.0	0.0	0.0	0.0	0.0	23024000.0	0.0	0.0	0.0
690	VTC2	P43585	0.0	0.0	24917000.0	0.0	0.0	0.0	15995000.0	0.0	0.0	69764000.0	0.0	0.0	0.0	0.0	0.0
691	LOC1	P43586	29506000.0	0.0	35944000.0	17148000.0	0.0	0.0	20474000.0	0.0	0.0	15968000.0	0.0	0.0	0.0	0.0	35069000.0
692	RPN11	P43588	40946000.0	24129000.0	61677000.0	45225000.0	10392000.0	38890000.0	45086000.0	26009000.0	0.0	26886000.0	22740000.0	49197000.0	35677000.0	55509000.0	56158000.0
