Protein.IDs	Gene.names	Intensity.01	Intensity.02	Intensity.03	Intensity.04	Intensity.05	Intensity.06	Intensity.07	Intensity.08	Intensity.09	Intensity.10	Intensity.11	Intensity.12	Intensity.13	Intensity.14	Intensity.15	LFQ.intensity.01	LFQ.intensity.02	LFQ.intensity.03	LFQ.intensity.04	LFQ.intensity.05	LFQ.intensity.06	LFQ.intensity.07	LFQ.intensity.08	LFQ.intensity.09	LFQ.intensity.10	LFQ.intensity.11	LFQ.intensity.12	LFQ.intensity.13	LFQ.intensity.14	LFQ.intensity.15	MS.MS.count.01	MS.MS.count.02	MS.MS.count.03	MS.MS.count.04	MS.MS.count.05	MS.MS.count.06	MS.MS.count.07	MS.MS.count.08	MS.MS.count.09	MS.MS.count.10	MS.MS.count.11	MS.MS.count.12	MS.MS.count.13	MS.MS.count.14	MS.MS.count.15	MS.MS.count
Q01939	RPT6	11644000	41597000	198750000	60107000	15056000	32050000	35902000	15636000	23998000	31401000	22760000	0	0	0	47886000	0	35953000	46838000	0	0	0	0	0	0	0	0	0	0	0	0	1	2	4	2	1	1	1	1	1	1	1	0	0	0	1	17
Q02207	FOX2	0	0	0	25235000	0	36101000	5914300	30925000	0	0	0	0	49100000	17485000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	3	0	0	0	0	3	1	0	11
Q02326	RPL6A	531600000	72590000	363990000	259110000	312580000	423920000	486790000	157130000	176690000	384070000	248790000	552110000	227810000	6.1e+08	829610000	251820000	253790000	251110000	209370000	241780000	181180000	292740000	179290000	223590000	223050000	174640000	222990000	222340000	195050000	242640000	4	2	6	2	4	5	4	2	3	4	3	5	4	5	5	58
Q02608	MRPS16	0	0	0	0	315250000	35671000	0	0	0	124370000	37188000	0	272750000	0	291860000	0	0	0	0	154180000	15731000	0	0	0	0	21488000	0	75261000	0	41952000	0	0	0	0	5	1	0	0	0	1	2	0	7	0	7	23
Q02642	EGD1	13147000	23303000	0	44332000	26088000	0	0	0	15884000	92744000	0	47420000	0	113540000	17766000	0	0	0	23996000	32061000	0	0	0	0	37648000	0	0	0	0	0	1	1	0	2	2	0	0	0	1	3	0	1	0	3	1	15
Q02753	RPL21A	188580000	97323000	528710000	0	57615000	60741000	117240000	0	36363000	5.6e+07	88024000	127530000	77126000	104080000	304250000	92476000	91292000	156990000	0	0	0	0	0	0	0	53791000	66635000	0	0	106350000	4	2	3	0	1	1	2	0	1	1	2	2	1	1	3	24
Q02784	GRX5	0	0	0	0	0	0	0	0	0	0	8332500	9824200	9887000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	3
Q02785	PDR12	0	0	128600000	0	0	7916700	0	0	0	0	0	0	0	0	39224000	0	0	21902000	0	0	0	0	0	0	0	0	0	0	0	12679000	0	0	6	0	0	1	0	0	0	0	0	0	0	0	2	9
Q02821	SRP1	0	72316000	47940000	11226000	0	0	0	0	0	64429000	0	62673000	12721000	0	0	0	49855000	18157000	0	0	0	0	0	0	0	0	34740000	0	0	0	0	3	2	1	0	0	0	0	0	5	0	2	1	0	0	14
Q02892	NOG1	35342000	6178300	192610000	117090000	43056000	18262000	63126000	0	17577000	0	24572000	63095000	18815000	177550000	44313000	0	0	49714000	39855000	46212000	0	44398000	0	0	0	0	34010000	0	29805000	0	1	1	6	3	3	1	2	0	1	0	2	2	1	5	1	29
Q02908	ELP3	0	0	19686000	9118800	0	0	23532000	0	0	0	0	0	10741000	7317100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	2	0	0	0	0	0	1	1	0	7
Q02931	NAN1	10875000	0	36597000	7748200	0	0	0	0	0	0	0	0	0	12560000	27142000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	1	2	7
Q02950	MRP51	0	0	0	0	666070000	143410000	0	0	0	0	109830000	0	453640000	0	800680000	0	0	0	0	299450000	53979000	0	0	0	0	59505000	0	139170000	0	147780000	0	0	0	0	8	6	0	0	0	0	2	0	8	0	11	35
Q03028	ODC1	0	0	0	9538700	0	0	0	0	0	0	0	0	0	12308000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2
Q03048	COF1	0	0	22545000	0	0	0	0	0	0	0	0	0	0	38392000	10712000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	1	5
Q03088	SVL3	0	0	0	0	0	0	0	0	0	0	0	0	0	16325000	15246000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2
Q03161		20447000	0	36055000	9297700	0	17798000	11805000	0	0	12300000	15705000	10990000	12557000	40734000	36353000	12648000	0	14542000	0	0	0	0	0	0	0	0	0	0	16616000	15831000	2	0	2	1	0	1	1	0	0	1	1	1	1	2	2	15
