Protein.IDs	Gene.names	Intensity.01	Intensity.02	Intensity.03	Intensity.04	Intensity.05	Intensity.06	Intensity.07	Intensity.08	Intensity.09	Intensity.10	Intensity.11	Intensity.12	Intensity.13	Intensity.14	Intensity.15	LFQ.intensity.01	LFQ.intensity.02	LFQ.intensity.03	LFQ.intensity.04	LFQ.intensity.05	LFQ.intensity.06	LFQ.intensity.07	LFQ.intensity.08	LFQ.intensity.09	LFQ.intensity.10	LFQ.intensity.11	LFQ.intensity.12	LFQ.intensity.13	LFQ.intensity.14	LFQ.intensity.15	MS.MS.count.01	MS.MS.count.02	MS.MS.count.03	MS.MS.count.04	MS.MS.count.05	MS.MS.count.06	MS.MS.count.07	MS.MS.count.08	MS.MS.count.09	MS.MS.count.10	MS.MS.count.11	MS.MS.count.12	MS.MS.count.13	MS.MS.count.14	MS.MS.count.15	MS.MS.count
A5Z2X5	YPR010C-A	0	25457000	0	54691000	0	32298000	0	0	0	0	0	0	0	0	39066000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	4
O14455;P05745	RPL36B;RPL36A	1.032e+09	1.034e+09	1799900000	1103700000	510830000	700950000	940310000	456100000	824840000	438350000	949890000	1190900000	921070000	1392500000	1462700000	672850000	802490000	560330000	492690000	749290000	451810000	401040000	480330000	691550000	669530000	516450000	607300000	597810000	472290000	586770000	4	4	4	4	4	3	4	3	4	3	4	5	3	4	3	56
O14467	MBF1	127050000	51359000	0	66250000	0	136280000	58185000	42241000	77124000	124040000	94857000	21558000	84905000	76362000	92538000	104740000	0	0	0	0	0	0	0	105680000	95456000	0	0	0	0	0	2	1	0	1	0	2	1	1	2	2	1	2	2	1	1	19
P0C2I4;P0CX67;O74302;Q12217;Q04706;P47099;P0CX68;P0CX69;P0CX66;P0CX65;P0CX60;P0CX59;P0CX58;P0CX57;P0CX76;Q12441;Q6Q5H1;Q12485;Q12085;Q03856;P0C2I8;P0CX75;P0CX74;P0CX73;P0CX72;P0CX71;P0CX70;Q12470;Q92392	TY1A-H;TY1A-GR3;TY1A-DR4;TY1A-BR;TY1A-ML1;TY1A-JR2;TY1A-LR1;TY1A-MR2;TY1A-ER2;TY1A-DR5;TY1A-PR2;TY1A-OR;TY1A-PR1;TY1A-A;TY1A-ML2;TY1A-DR3;TY1A-PR3;TY1A-GR2;TY1A-GR1;TY1A-DR1;TY1A-LR4;TY1A-LR3;TY1A-JR1;TY1A-PL;TY1A-LR2;TY1A-ER1;TY1A-DR6;TY1A-NL2;TY1A-OL	0	0	74067000	0	0	0	46644000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2
O74700	TIM9	15776000	0	22918000	22318000	12552000	53161000	17626000	15380000	0	41043000	25410000	37851000	30369000	31499000	37701000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	2	1	1	0	1	1	1	1	1	1	14
P00044;P00045	CYC1;CYC7	30447000	0	19079000	0	0	30894000	0	0	0	32844000	0	0	37016000	0	34219000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	6
P00127	QCR6	15277000	0	23751000	0	0	81326000	16385000	0	13727000	0	29708000	41162000	51371000	27531000	26922000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	1	0	1	1	1	1	1	10
P00128	QCR7	0	0	34686000	57528000	0	75485000	10230000	32893000	12137000	15968000	38496000	19334000	58397000	93175000	56578000	0	0	0	0	0	56704000	0	0	0	0	0	0	48458000	0	33014000	0	0	1	2	0	2	1	1	1	1	1	1	2	2	2	17
P00175	CYB2	6958000	0	7363700	0	0	0	0	0	0	0	9431600	7016200	0	10257000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	1	0	5
P00330	ADH1	5610300000	2779300000	7558800000	7227900000	3145300000	5212900000	6190900000	1660300000	2787600000	8110100000	7995200000	6823900000	9961200000	7901200000	6909600000	1217900000	1155600000	922920000	1151700000	1208700000	1247500000	1151900000	1.21e+09	1259400000	1519700000	1.451e+09	1401400000	1503800000	918800000	1075100000	25	16	21	22	17	23	22	9	17	28	27	25	32	28	26	338
P00331	ADH2	567680000	144500000	438260000	332120000	38237000	660370000	208160000	341620000	499260000	119940000	661840000	74503000	215970000	514150000	197570000	247690000	108340000	87948000	190700000	0	295460000	95016000	252110000	238410000	76581000	257730000	94497000	260300000	128600000	89204000	4	3	5	4	1	6	2	4	6	2	7	2	5	5	3	59
P00358	TDH2	1.201e+09	275620000	2515900000	1349300000	354440000	754380000	228740000	356440000	1077900000	1403400000	1152300000	1448800000	1650600000	992520000	3309300000	417040000	273080000	536510000	623570000	337060000	528410000	259470000	472190000	603220000	652650000	891440000	567020000	550350000	577840000	737070000	8	2	9	6	3	4	3	3	7	5	4	5	7	4	11	81
P00359	TDH3	2.7021e+10	1.1299e+10	3.1734e+10	2.2846e+10	1.1911e+10	2.6977e+10	2.3212e+10	9842100000	1.9746e+10	2.0926e+10	2.069e+10	3.5924e+10	1.9836e+10	4.8515e+10	3.7638e+10	4.857e+09	4583600000	3947500000	3995900000	4667800000	4754100000	4501500000	4777700000	5.301e+09	4925600000	5188900000	4843300000	4469500000	4146600000	4095500000	43	26	56	37	22	45	41	31	39	45	46	52	42	56	63	644
P00360	TDH1	152050000	0	100470000	193270000	0	364670000	77398000	98102000	58942000	86995000	233030000	84975000	76709000	36733000	0	82590000	0	0	0	0	0	0	0	70431000	0	108820000	0	0	0	0	2	0	2	2	0	4	1	1	2	1	5	1	2	1	0	24
P00410	COX2	70787000	51557000	170350000	168400000	33540000	225070000	52479000	57939000	47242000	66716000	140410000	66226000	70708000	218730000	159850000	59746000	51708000	58027000	90375000	29762000	94881000	32600000	65344000	55307000	51773000	62814000	51085000	67046000	87396000	60839000	2	2	3	2	2	3	3	3	3	2	3	2	2	2	2	36
P00424;P00425	COX5A;COX5B	17554000	0	0	15157000	0	42284000	0	0	13413000	16678000	16605000	21135000	0	20782000	12312000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	1	1	1	1	0	1	1	10
P00427	COX6	0	13661000	17037000	59108000	18969000	86296000	27043000	0	16852000	81048000	61591000	69902000	61863000	69414000	69529000	0	0	0	30755000	15027000	36718000	23625000	0	0	29321000	38234000	32705000	36175000	25469000	18086000	0	1	1	2	2	3	2	0	1	3	2	2	2	2	3	26
P00445	SOD1	132010000	15007000	16669000	285160000	640420000	56184000	23223000	2.59e+08	499650000	51390000	211860000	16060000	38565000	20006000	12660000	118400000	0	0	220510000	249020000	75695000	38652000	152950000	162410000	69756000	147290000	0	60503000	0	0	3	1	1	3	5	2	2	5	6	2	5	1	2	1	1	40
P00447	SOD2	26523000	13087000	36488000	0	14417000	47175000	17772000	0	25445000	23589000	33357000	25479000	0	0	36322000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	0	1	1	1	1	0	0	1	11
P00498	HIS1	0	0	266840000	31840000	0	0	14515000	0	0	0	12204000	22674000	0	125030000	49701000	0	0	54895000	0	0	0	0	0	0	0	0	0	0	39398000	0	0	0	5	1	0	0	1	0	0	0	1	1	0	3	2	14
P00546	CDC28	6008500	0	28165000	8792600	0	0	0	0	0	0	0	0	0	19309000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	2	0	6
P00549;P52489	CDC19	1.061e+10	3867400000	2.452e+10	1.0628e+10	6772100000	8799400000	8802400000	3045300000	5711700000	8094300000	1.07e+10	1.0305e+10	8095600000	1.6231e+10	1.7943e+10	1.224e+09	1097400000	1452400000	1144500000	1179600000	1086700000	1348200000	1031100000	1.296e+09	1120600000	1196300000	1101400000	1010700000	1196500000	1359900000	46	28	56	41	43	38	41	19	37	40	46	44	44	47	56	626
P00560	PGK1	7046200000	2667800000	7167300000	4421500000	3.291e+09	8131500000	4457800000	2631200000	4128200000	1.0165e+10	6497100000	1.0059e+10	6443600000	8015400000	8526800000	1.039e+09	1081600000	648680000	678310000	822310000	1227500000	806180000	1042800000	1184900000	1209900000	1287400000	1126500000	1189800000	851480000	820410000	39	28	45	32	28	35	32	26	31	47	37	45	34	38	43	540
P00812	CAR1	12953000	0	0	0	0	17377000	0	11091000	0	18787000	0	14564000	20570000	18849000	11748000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	0	1	1	1	1	9
P00815	HIS4	183670000	17905000	426020000	104390000	40197000	53472000	1.27e+08	0	53079000	70523000	48914000	195110000	103360000	318690000	201690000	52055000	0	87141000	33033000	37251000	38683000	48968000	0	48231000	39326000	27264000	56785000	49232000	70762000	46378000	7	1	10	3	2	2	6	0	2	3	2	4	3	8	6	59
P00817	IPP1	519970000	91327000	742080000	283240000	179320000	584420000	327120000	165660000	237030000	535470000	512630000	659940000	421270000	715460000	473860000	111230000	52934000	79467000	78377000	69669000	97039000	87565000	87604000	97883000	99326000	102330000	106130000	94813000	80466000	79751000	12	3	14	7	7	12	9	7	6	10	13	13	11	12	10	146
P00830	ATP2	862940000	481650000	1641400000	1529300000	721550000	2758100000	862550000	707370000	768110000	1726300000	1742900000	1896300000	2215700000	1879900000	1751500000	223770000	213910000	170430000	275040000	188920000	360710000	198090000	313400000	223070000	240800000	3.17e+08	231270000	355240000	239570000	190390000	13	10	18	15	14	19	12	14	16	17	17	17	18	18	17	235
P00890	CIT1	298600000	116360000	265960000	457070000	65386000	1162900000	179140000	354060000	221300000	337470000	321180000	347810000	826620000	697860000	349460000	83586000	65081000	51826000	117120000	42645000	307810000	61976000	224320000	103400000	98030000	103740000	100360000	225070000	119250000	68142000	8	5	6	9	4	11	7	8	6	6	8	6	12	8	8	112
P00899	TRP2	10526000	0	22459000	9481800	0	0	0	0	0	0	0	12699000	0	5992300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	5
P00924	ENO1	755560000	121880000	548730000	798340000	217780000	265560000	11128000	21046000	375900000	319520000	1109300000	263440000	596590000	582960000	350790000	369890000	0	193690000	322140000	188550000	299960000	0	0	402360000	194410000	4.55e+08	191780000	438310000	186050000	183390000	7	1	5	6	3	4	1	1	2	4	8	3	6	5	3	59
P00925	ENO2	1.4165e+10	5068900000	1.2485e+10	1.329e+10	6734200000	1.7498e+10	8.552e+09	6262100000	8634900000	2.0329e+10	1.722e+10	2.077e+10	1.6279e+10	1.9458e+10	1.4568e+10	1696600000	1564100000	991950000	1507600000	1423200000	2206800000	1234400000	1883900000	1955100000	2316500000	2323400000	2334200000	2288200000	1622300000	1390200000	47	34	42	48	40	48	42	31	41	59	55	55	48	42	46	678
P00927	ILV1	96495000	28686000	531920000	195710000	75972000	170570000	188810000	33822000	63190000	122040000	62068000	154910000	93438000	371190000	443750000	49974000	0	130220000	73924000	57840000	57366000	85500000	0	43059000	60190000	41015000	57007000	54819000	92197000	98263000	5	1	12	6	5	7	8	1	3	4	3	7	3	9	12	86
P00931	TRP5	42150000	0	269700000	87717000	17062000	136830000	27964000	0	59488000	131930000	85270000	79008000	48514000	353510000	242700000	22927000	0	47332000	28087000	0	34256000	0	0	32879000	39301000	30476000	27101000	23629000	54080000	42972000	2	0	10	4	1	5	1	0	3	6	4	4	2	9	8	59
P00937	TRP3	32123000	0	138650000	0	14223000	0	0	0	18324000	0	5746000	38313000	0	33735000	23237000	0	0	40328000	0	0	0	0	0	0	0	0	22636000	0	0	0	1	0	3	0	1	0	0	0	1	0	1	2	0	1	1	11
P00942	TPI1	547750000	125670000	1486300000	284100000	194370000	1736200000	617160000	142870000	316850000	1184100000	249550000	912850000	724480000	858010000	1.484e+09	198310000	85625000	287860000	91353000	112740000	474290000	248090000	110570000	177530000	310600000	110610000	258460000	258430000	243010000	331020000	10	3	14	3	4	17	10	4	7	12	7	13	10	10	13	137
P00950	GPM1	2484200000	1893800000	3635400000	1.816e+09	853130000	3995100000	2.152e+09	1125500000	1855600000	4449700000	3033400000	4021600000	2356500000	3160900000	4089600000	665540000	657690000	505980000	597270000	495150000	747830000	553910000	715560000	730680000	881820000	848970000	835920000	784140000	668380000	615950000	17	15	22	16	12	22	17	13	15	25	21	20	19	19	24	277
P00958	MES1	29923000	0	143730000	15475000	0	22207000	0	10066000	0	11270000	20249000	39136000	57179000	27169000	93072000	15595000	0	25486000	0	0	14016000	0	0	0	0	0	20496000	18356000	15669000	20879000	2	0	8	1	0	2	0	1	0	1	2	2	4	2	5	30
P01097	INH1	0	0	0	0	0	32525000	0	8935700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	3
P01123	YPT1	0	0	71031000	0	0	0	0	0	0	0	12153000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2
P02294;P02293	HTB2;HTB1	29763000	0	49391000	0	0	14910000	32088000	0	0	38328000	0	68100000	26233000	0	35989000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	1	0	2	1	0	1	9
P02309	HHF1	354570000	121500000	553390000	279730000	228490000	417210000	360970000	34970000	102150000	307020000	127400000	236800000	286430000	305820000	459180000	97348000	102300000	109740000	79330000	109060000	106950000	131490000	0	90429000	73086000	60764000	76725000	93439000	58637000	85754000	7	3	6	4	4	7	6	1	3	4	3	5	6	5	7	71
P02381	VAR1	0	0	0	0	859730000	203310000	0	0	0	0	88427000	0	286120000	0	245920000	0	0	0	0	285900000	49869000	0	0	0	0	49244000	0	99989000	0	68926000	0	0	0	0	8	7	0	0	0	0	2	0	6	0	5	28
P02400	RPP2B	349260000	623620000	956660000	880990000	432830000	715180000	730140000	504300000	494650000	1160600000	669660000	570770000	606550000	734190000	1166100000	252720000	285200000	215300000	271360000	247620000	302710000	201120000	257570000	230830000	278670000	286220000	270800000	258640000	187350000	238130000	5	8	7	7	7	7	8	8	6	8	6	5	7	7	8	104
P02406	RPL28	1041300000	553550000	2425800000	426690000	508060000	706400000	760960000	202200000	672980000	566070000	308950000	969090000	890630000	1279600000	913840000	420030000	405330000	541310000	301060000	422460000	266390000	441730000	270090000	345230000	368980000	289970000	344980000	344010000	329440000	424410000	5	5	11	5	6	5	4	3	8	3	2	5	5	6	5	78
P14127;P02407	RPS17B;RPS17A	3044600000	1714300000	6618100000	2886700000	2487600000	2231600000	3116900000	697060000	2039400000	3174300000	2977400000	3574200000	2617200000	3.809e+09	6356100000	718320000	848820000	831150000	604180000	817450000	581850000	895070000	611210000	795680000	705300000	672880000	699300000	674630000	593380000	878930000	16	12	19	14	15	13	16	8	12	15	13	16	12	18	21	220
P02557	TUB2	240140000	50484000	544870000	230550000	49092000	229490000	142850000	52582000	134770000	219330000	46176000	196490000	144640000	571070000	335350000	83009000	46157000	114180000	98674000	57320000	81231000	71278000	60702000	78999000	87575000	0	70214000	79941000	131620000	86887000	6	2	11	6	3	7	3	2	4	6	2	6	4	10	6	78
P02829	HSP82	1.17e+08	0	62497000	99695000	0	179540000	42540000	8930700	151730000	94539000	265630000	58697000	66671000	111830000	32143000	47148000	0	22419000	36142000	0	47527000	53263000	0	57276000	34275000	79627000	30975000	43244000	29720000	32607000	4	0	2	3	0	5	2	1	6	3	5	3	3	5	2	44
P02992	TUF1	64701000	26361000	371320000	124780000	60744000	70177000	123630000	31251000	32577000	125870000	39826000	130900000	9568300	145240000	182520000	49391000	0	66842000	52495000	47340000	49062000	58631000	0	0	52258000	0	4.7e+07	0	47474000	53977000	3	2	9	4	3	2	5	1	1	4	1	5	1	4	5	50
P02994	TEF1	1.2118e+10	4745600000	1.9568e+10	1.1481e+10	8436100000	9200100000	6990200000	3030200000	8692100000	1.3106e+10	1.0217e+10	1.2622e+10	9831100000	1.4869e+10	1.6108e+10	2716800000	2596900000	3078700000	2292200000	2858100000	2310200000	2679100000	2245700000	2858200000	2677800000	2322400000	2760800000	2414800000	2279900000	2557700000	42	28	66	47	36	41	38	19	35	50	45	48	39	56	51	641
P03871	REP1	0	0	17969000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
P03872	REP2	0	0	27415000	0	0	0	0	0	0	0	0	0	0	17255000	15849000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	3
P03965	CPA2	84638000	11690000	592760000	254440000	37984000	91124000	110100000	33731000	32770000	72045000	43862000	164540000	103270000	535820000	465200000	36935000	10146000	120280000	62491000	21835000	32677000	58125000	17965000	0	28602000	22208000	40117000	34239000	102750000	100300000	7	2	16	7	3	5	6	2	2	4	3	7	4	14	13	95
P04037	COX4	31288000	22855000	25954000	108360000	7691900	0	0	0	32433000	81993000	92249000	62410000	122380000	40824000	44430000	0	28588000	0	39222000	0	0	0	0	33945000	46039000	54966000	41009000	56338000	21843000	23037000	1	2	1	3	1	0	0	0	2	3	5	2	3	2	2	27
P04046	ADE4	34131000	23988000	125090000	1.17e+08	21428000	27762000	14488000	7184100	58062000	60101000	0	41634000	42702000	87925000	198880000	17975000	0	26211000	25966000	17240000	14573000	0	0	23207000	18977000	0	18887000	18289000	23917000	33055000	2	2	5	7	2	2	1	1	3	4	0	3	3	4	7	46
P04050	RPO21	0	0	14448000	9563600	0	0	5274800	0	0	0	0	0	0	12421000	7634900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	1	5
P04076	ARG4	0	0	8209100	0	0	0	0	0	0	18675000	0	0	0	32265000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	2	0	5
P04147	PAB1	258290000	89842000	443510000	317190000	84602000	333470000	194550000	20257000	155300000	334930000	246960000	472920000	254570000	307490000	509210000	102260000	76717000	92436000	83982000	65725000	102330000	77744000	0	101120000	110300000	90471000	121230000	93551000	77881000	89642000	8	2	9	6	2	6	5	2	5	6	7	11	7	6	9	91
P04161	ADE8	0	0	28515000	18650000	0	0	14385000	0	0	9200900	8563400	19193000	0	0	32463000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	1	1	0	0	2	8
P04173	LEU2	0	0	38499000	7706200	0	0	15272000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	4
P04449	RPL24A	0	41847000	120180000	0	0	66720000	49944000	0	44708000	58523000	0	0	51530000	0	82628000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1	1	0	0	1	0	1	8
P04456	RPL25	1422600000	893910000	4014200000	1298200000	920560000	887250000	1011600000	511020000	461440000	616870000	793020000	1303200000	1392500000	2.087e+09	3.066e+09	691140000	770240000	959550000	606700000	794270000	508820000	727530000	513680000	676620000	520490000	504620000	521070000	547480000	663440000	690470000	4	5	9	5	3	5	4	4	3	3	4	8	6	3	8	74
P04650	RPL39	140430000	79214000	242140000	16446000	19079000	71977000	160730000	0	0	53983000	85855000	14700000	80899000	127820000	139330000	107390000	0	135730000	0	0	0	151280000	0	0	0	79932000	0	0	66852000	73401000	2	1	2	1	1	1	2	0	0	1	2	1	1	2	2	19
P04710	AAC1	0	0	0	0	110210000	174440000	0	116940000	0	131410000	108980000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	5
P04801	THS1	125950000	32347000	445790000	156930000	96647000	209190000	211480000	19677000	67616000	118620000	135930000	281320000	162510000	346920000	3.31e+08	37401000	19755000	65532000	44381000	40687000	43452000	55075000	0	34819000	37703000	36157000	53025000	41814000	46196000	57616000	6	3	12	6	5	7	7	1	3	4	7	10	5	10	8	94
P04802	DPS1	123250000	23055000	473800000	53267000	42259000	101260000	75268000	0	78198000	149870000	13649000	139480000	92268000	328940000	333370000	36238000	15727000	64658000	21058000	23999000	33496000	27921000	0	30851000	30590000	0	32031000	25248000	45501000	48186000	6	2	12	3	3	4	3	0	4	6	2	7	4	9	11	76
P04806	HXK1	104970000	39147000	120050000	122400000	27455000	265720000	38115000	66444000	65474000	173610000	103620000	106310000	135340000	250330000	181790000	77833000	0	56384000	76030000	0	165090000	0	0	95252000	97026000	0	65279000	71471000	118040000	65270000	3	2	3	3	1	4	1	2	2	4	3	2	3	4	4	41
P04807	HXK2	193850000	178130000	353060000	343790000	123730000	279830000	202610000	69260000	300400000	598210000	514430000	567180000	355060000	383940000	454900000	100600000	104330000	71548000	120130000	87465000	102510000	83236000	51999000	131400000	166080000	192030000	148730000	138080000	93201000	89888000	6	5	7	6	3	5	7	2	8	11	10	10	7	7	7	101
P04840	POR1	696650000	205080000	611830000	775430000	228420000	1146200000	361390000	329340000	268110000	581840000	869020000	715260000	514310000	1124300000	963470000	264360000	174800000	173070000	311030000	165080000	435290000	185100000	346580000	203820000	229050000	417200000	237840000	381220000	3.26e+08	241760000	8	2	7	7	3	8	4	3	3	5	8	8	5	8	6	85
P04912;P04911	HTA2;HTA1	91133000	28908000	47039000	134200000	108080000	0	91862000	0	80486000	149780000	130770000	116620000	115710000	224330000	121940000	0	0	0	86072000	120860000	0	76703000	0	85442000	98156000	102620000	78949000	88233000	69989000	63347000	1	1	1	2	2	0	2	0	2	2	2	2	2	4	2	25
P05030;P19657	PMA1;PMA2	4399800000	1916600000	1.2509e+10	4416200000	3428900000	2514600000	5691600000	1436900000	2428100000	2445100000	1687800000	2663300000	1628600000	8647900000	9332600000	591390000	450910000	977050000	584800000	631600000	383530000	904930000	507570000	480200000	352180000	279110000	358270000	316630000	566610000	631850000	30	22	44	26	30	22	32	17	26	20	18	25	20	35	42	409
P05317	RPP0	1040600000	1305900000	4121800000	2311700000	1606500000	2043600000	1861400000	526950000	1187100000	1938700000	2636700000	2131500000	1386700000	5255800000	5320600000	976350000	1038500000	863300000	1033500000	1092400000	804540000	722100000	669810000	855470000	970740000	1103500000	920740000	873660000	1.107e+09	1099400000	9	7	12	9	7	7	9	4	9	6	11	12	8	14	12	136
P05318	RPP1A	527160000	277900000	732710000	522630000	344120000	1000300000	252200000	144860000	229230000	508430000	917680000	748380000	238770000	2223900000	943700000	334070000	280990000	294430000	0	314010000	606480000	0	192810000	205300000	299100000	659340000	0	0	958110000	340770000	2	2	2	1	2	2	1	3	2	2	2	1	1	2	3	28
P05319	RPP2A	722510000	209630000	355770000	867660000	533610000	187250000	299680000	164890000	220590000	581030000	311340000	374520000	206170000	534760000	661110000	189490000	223990000	148460000	197530000	182030000	207040000	158520000	215970000	160970000	229060000	205110000	215320000	196960000	158240000	193260000	7	3	5	7	5	2	5	5	5	7	4	7	4	4	9	79
P05373	HEM2	28858000	0	53906000	15261000	0	24667000	29518000	0	0	44014000	21895000	0	42714000	14149000	40277000	18869000	0	0	0	0	0	0	0	0	0	0	0	30492000	0	0	2	0	2	1	0	1	1	0	0	2	1	0	2	1	2	15
P05453	SUP35	75743000	38189000	190760000	102090000	28934000	88885000	27841000	9201800	68856000	99981000	65927000	102940000	34716000	109670000	131380000	46739000	35144000	35833000	29158000	28166000	34237000	0	0	41722000	29058000	33556000	28686000	20990000	31534000	36034000	2	2	5	4	2	3	1	1	3	4	3	4	2	4	3	43
P05626	ATP4	16988000	0	19420000	154230000	0	129810000	19011000	16551000	35084000	125540000	100150000	103130000	149060000	254650000	119230000	0	0	0	59216000	0	73984000	0	0	34528000	58652000	66587000	59356000	69906000	73207000	37368000	1	0	1	4	0	3	1	1	2	4	2	3	4	5	3	34
P05694	MET6	301970000	7069600	544740000	83356000	35551000	230890000	106300000	24675000	123020000	261710000	268950000	213500000	168840000	411430000	499710000	59928000	0	56191000	21093000	9472700	38670000	27112000	10956000	37972000	51407000	52763000	42265000	36468000	50187000	58064000	15	1	16	4	3	10	5	2	6	12	12	10	7	14	15	132
P05737	RPL7A	2.58e+09	1310800000	3.563e+09	1988200000	1505500000	1342800000	1668400000	462730000	1377800000	2248400000	1885400000	1740600000	1.608e+09	4790900000	4744700000	443500000	465810000	485970000	377190000	414480000	327530000	416150000	270930000	394550000	434600000	375630000	404790000	390020000	459450000	498950000	17	11	18	14	13	10	12	6	12	13	12	9	11	13	16	187
P05738	RPL9A	1231700000	538200000	2141800000	883980000	688880000	1319800000	593660000	166710000	427400000	1239700000	776060000	452750000	668590000	1998300000	1518600000	502590000	548030000	761590000	590790000	574800000	452400000	620830000	352020000	426530000	472780000	383220000	496870000	429320000	531240000	627070000	8	5	14	4	3	7	6	2	2	9	4	6	7	8	9	94
P05739	RPL6B	1528900000	276090000	2436400000	579960000	321570000	1228900000	1.608e+09	218910000	299760000	582250000	546860000	680760000	1079700000	2258500000	2219100000	507600000	413470000	609670000	454290000	395830000	455940000	603020000	371150000	419830000	442790000	546920000	507570000	546800000	620640000	727640000	10	4	9	8	4	6	11	3	6	5	6	6	7	10	14	109
P05740	RPL17A	26633000	0	0	0	0	0	0	0	19923000	0	13691000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	3
P05744	RPL33A	743290000	311230000	737370000	684120000	249800000	409660000	333310000	95826000	468990000	702370000	179090000	692420000	313950000	864080000	615900000	361590000	379990000	439710000	330700000	326870000	348080000	0	0	300950000	235440000	0	277980000	297600000	331100000	351470000	5	3	5	4	2	4	1	1	3	4	1	3	2	6	5	49
P05748	RPL15A	1057300000	384440000	2174400000	1302100000	611100000	724470000	1064200000	359960000	551960000	1132800000	407650000	1019200000	512400000	1757300000	1577600000	373880000	385900000	465900000	340310000	408310000	266400000	532800000	277490000	333870000	326390000	217360000	300570000	356270000	288670000	336870000	6	3	8	7	5	5	5	4	4	5	3	7	4	9	7	82
P05749	RPL22A	84521000	69494000	178710000	69387000	51747000	96939000	52863000	48361000	67076000	86337000	119360000	92756000	77049000	103690000	199790000	0	0	59718000	0	0	0	0	0	0	0	0	0	0	0	71528000	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	17
P05750	RPS3	3463500000	2391600000	8990700000	3262600000	2553200000	4570200000	4.477e+09	1237100000	2.224e+09	3543900000	2423100000	4061200000	2754600000	6397100000	9374300000	1733700000	1.878e+09	2363700000	1402900000	1.971e+09	1597100000	2219600000	1395200000	1765100000	1550100000	1326700000	1469700000	1496500000	1761700000	2246600000	18	14	27	15	15	19	23	9	16	19	13	18	11	16	26	259
P05755;O13516	RPS9B;RPS9A	1272300000	226120000	2221900000	1223400000	970290000	1282200000	1347500000	376440000	966050000	1636500000	1482700000	1906200000	1153100000	2830400000	3047400000	477770000	538960000	747670000	459220000	500220000	455130000	575710000	398150000	504540000	369720000	397740000	419120000	468410000	494460000	625830000	8	5	13	6	8	10	8	6	10	12	8	9	9	10	14	136
P05756	RPS13	1602600000	643510000	4070200000	2752700000	2179900000	1423100000	2605800000	385820000	317430000	1645700000	1618500000	2524100000	1052700000	3485600000	3.561e+09	623070000	593850000	837560000	776890000	730080000	641980000	696540000	447520000	446620000	611020000	534460000	618400000	579760000	932220000	946440000	11	9	19	14	14	10	12	7	8	10	11	12	11	17	20	185
